section,section_order,category_slug,category_name,category_order,article_slug,article_title,featured,read_minutes,video_desc,est_duration_sec,step_count,prereq_count,has_tips,has_warnings,file_path,recording_status,recorded_url,notes
Workspace,1,dashboard,Dashboard,1,add-and-arrange-widgets,Add and arrange dashboard widgets,false,3,Add and arrange widgets (90 sec),90,4,0,true,false,src/modules/knowledge-base/data/categories/dashboard.ts,,,
Workspace,1,dashboard,Dashboard,1,customize-your-default-view,Customize your default dashboard view,false,3,Customize default view (90 sec),90,4,0,false,false,src/modules/knowledge-base/data/categories/dashboard.ts,,,
Workspace,1,dashboard,Dashboard,1,dashboard-overview,Dashboard overview,true,4,Dashboard tour (3 min),180,4,2,true,false,src/modules/knowledge-base/data/categories/dashboard.ts,,,
Workspace,1,dashboard,Dashboard,1,dashboard-shortcuts,Dashboard keyboard shortcuts,false,2,Keyboard shortcuts (60 sec),60,3,0,true,false,src/modules/knowledge-base/data/categories/dashboard.ts,,,
Workspace,1,dashboard,Dashboard,1,widget-categories-explained,Widget categories explained,false,4,Widget categories (2 min),120,7,0,false,false,src/modules/knowledge-base/data/categories/dashboard.ts,,,
Workspace,1,pipeline-and-opportunities,Pipeline & Opportunities,2,bulk-actions-on-opportunities,Bulk actions on opportunities,false,3,Bulk actions (60 sec),60,4,0,false,true,src/modules/knowledge-base/data/categories/pipeline-and-opportunities.ts,,,
Workspace,1,pipeline-and-opportunities,Pipeline & Opportunities,2,convert-opportunity-to-job,Convert an opportunity to a job,false,3,Convert to job (90 sec),90,4,1,false,true,src/modules/knowledge-base/data/categories/pipeline-and-opportunities.ts,,,
Workspace,1,pipeline-and-opportunities,Pipeline & Opportunities,2,create-an-opportunity,Create a new opportunity,false,4,Create opportunity (2 min),120,6,0,false,false,src/modules/knowledge-base/data/categories/pipeline-and-opportunities.ts,,,
Workspace,1,pipeline-and-opportunities,Pipeline & Opportunities,2,drag-to-advance-stage,Drag a card to advance its stage,false,3,Drag to advance (60 sec),60,3,0,false,true,src/modules/knowledge-base/data/categories/pipeline-and-opportunities.ts,,,
Workspace,1,pipeline-and-opportunities,Pipeline & Opportunities,2,kanban-vs-list-view,Kanban view vs list view,false,3,Kanban vs list (90 sec),90,3,0,false,false,src/modules/knowledge-base/data/categories/pipeline-and-opportunities.ts,,,
Workspace,1,pipeline-and-opportunities,Pipeline & Opportunities,2,pipeline-filters,Filter the pipeline,false,3,Pipeline filters (2 min),120,5,0,true,false,src/modules/knowledge-base/data/categories/pipeline-and-opportunities.ts,,,
Workspace,1,pipeline-and-opportunities,Pipeline & Opportunities,2,pipeline-overview,Pipeline overview,true,5,Pipeline overview (3 min),180,4,1,true,false,src/modules/knowledge-base/data/categories/pipeline-and-opportunities.ts,,,
Workspace,1,pipeline-and-opportunities,Pipeline & Opportunities,2,pipelines-and-stages-settings,Configure pipelines and stages,false,5,Pipelines and stages (3 min),180,4,0,true,false,src/modules/knowledge-base/data/categories/pipeline-and-opportunities.ts,,,
Workspace,1,jobs,Jobs,3,assign-crew-to-a-job,Assign crew to a job,false,3,Assign crew (60 sec),60,4,0,true,false,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,jobs,Jobs,3,bulk-delete-jobs,Bulk delete jobs,false,2,Bulk delete (45 sec),45,4,0,false,true,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,jobs,Jobs,3,change-job-stage,Change a job's stage,false,3,Change job stage (90 sec),90,3,0,true,false,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,jobs,Jobs,3,convert-from-opportunity,Convert an opportunity to a job,false,3,Convert from opportunity (90 sec),90,4,0,false,false,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,jobs,Jobs,3,create-a-job,Create a new job,true,4,Create a job (2 min),120,7,2,true,false,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,jobs,Jobs,3,edit-job-details,Edit job details,false,3,Edit job details (90 sec),90,3,0,false,false,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,jobs,Jobs,3,job-filters,Filter the jobs list,false,3,Job filters (2 min),120,4,0,false,false,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,jobs,Jobs,3,job-settings-stages,Customize job workflow stages,false,4,Customize stages (2 min),120,4,0,false,true,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,jobs,Jobs,3,job-stages-and-workflow,Job stages and workflow,false,5,Job stages walkthrough (3 min),180,4,0,false,false,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,jobs,Jobs,3,pipeline-switcher,Switch between pipelines,false,2,Pipeline switcher (45 sec),45,3,0,false,false,src/modules/knowledge-base/data/categories/jobs.ts,,,
Workspace,1,calendar,Calendar,4,appointment-types,Configure appointment types,false,4,Appointment types (2 min),120,4,0,false,false,src/modules/knowledge-base/data/categories/calendar.ts,,,
Workspace,1,calendar,Calendar,4,book-an-appointment,Book an appointment,false,3,Book an appointment (90 sec),90,4,0,false,false,src/modules/knowledge-base/data/categories/calendar.ts,,,
Workspace,1,calendar,Calendar,4,calendar-overview,Calendar overview,false,4,Calendar tour (3 min),180,3,0,false,false,src/modules/knowledge-base/data/categories/calendar.ts,,,
Workspace,1,calendar,Calendar,4,calendar-settings,Calendar settings,false,3,Calendar settings (2 min),120,3,0,false,false,src/modules/knowledge-base/data/categories/calendar.ts,,,
Workspace,1,calendar,Calendar,4,sync-with-google-or-outlook,Sync with Google or Outlook,false,4,Calendar sync (90 sec),90,4,0,false,true,src/modules/knowledge-base/data/categories/calendar.ts,,,
Workspace,1,calendar,Calendar,4,team-availability,Manage team availability,false,4,Team availability (2 min),120,4,0,false,false,src/modules/knowledge-base/data/categories/calendar.ts,,,
Workspace,1,contacts,Contacts,5,add-a-contact,Add a new contact,false,3,Add a contact (60 sec),60,5,0,false,false,src/modules/knowledge-base/data/categories/contacts.ts,,,
Workspace,1,contacts,Contacts,5,bulk-edit-contacts,Bulk edit contacts,false,3,Bulk edit (60 sec),60,3,0,false,false,src/modules/knowledge-base/data/categories/contacts.ts,,,
Workspace,1,contacts,Contacts,5,contact-fields,Contact fields and custom fields,false,4,Contact fields (2 min),120,4,0,false,false,src/modules/knowledge-base/data/categories/contacts.ts,,,
Workspace,1,contacts,Contacts,5,contact-profile-tabs,The contact profile tabs,false,4,Contact profile tour (2 min),120,5,0,false,false,src/modules/knowledge-base/data/categories/contacts.ts,,,
